Order Date,Shipment Date,Status,Delivery Date,"Order-to-Delivery, days","Price, EUR",Product ID,"Sum of Order, EUR",Qty ordered,Discount %,"Weight, kg",Delivery type,Premium?,Business?,Content rating,Date of creation,Category,Payment type
11/5/2021,11/6/2021,Delivered,11/6/2021,1,8.67,225850592,8.67,1,0.27,0.5,Courier,0,0,'36.25,9/21/2021,Container,Card
11/5/2021,11/6/2021,Delivered,11/6/2021,1,7.93,225848498,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,2,7.93,225848498,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Apple Pay
11/5/2021,11/6/2021,Delivered,11/12/2021,7,10.00,244299590,3.33,3,0.36,0.2,Pick-up Point,0,0,'65,10/8/2021,Holidays,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.33,202528585,3.33,1,0.55,0.1,Pick-up Point,0,0,'65,8/14/2021,Paper,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.87,251169005,3.87,1,0.51,0.1,Courier,0,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,7.93,225848498,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/5/2021,Delivered,11/7/2021,2,3.96,199519914,3.96,1,0.6,1.1,Pick-up Point,0,0,'40,6/24/2020,Decoration,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,6.28,191684958,6.28,1,0.45,0.2,Pick-up Point,0,0,'61.25,8/30/2020,Stationary,Apple Pay
11/5/2021,11/6/2021,Delivered,11/8/2021,3,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,1,0,#N/A,#N/A,No data,Card
11/5/2021,11/6/2021,Delivered,11/10/2021,5,3.13,219896042,3.13,1,0.47,0.1,Courier,1,0,'57.5,9/11/2021,Sewing,Apple Pay
11/5/2021,11/5/2021,Delivered,11/7/2021,2,7.93,225850168,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Google Pay
11/5/2021,11/5/2021,Delivered,11/7/2021,2,3.91,262011691,3.91,1,0.47,0.1,Pick-up Point,0,0,'46.25,10/25/2021,Holidays,Card
11/5/2021,11/6/2021,Delivered,11/10/2021,5,3.37,260502299,3.37,1,0.37,0.3,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/5/2021,Delivered,11/6/2021,1,3.87,251169005,3.87,1,0.51,0.1,Courier,1,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/6/2021,Delivered,11/10/2021,5,6.28,191684958,6.28,1,0.45,0.2,Pick-up Point,0,0,'61.25,8/30/2020,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,3.96,199519914,3.96,1,0.6,1.1,Courier,0,0,'40,6/24/2020,Decoration,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,3.37,260281519,3.37,1,0.35,0.1,Pick-up Point,0,0,'40,10/22/2021,Stationary,Card
11/5/2021,11/10/2021,Delivered,11/12/2021,7,6.28,191684958,6.28,1,0.45,0.2,Courier,0,0,'61.25,8/30/2020,Stationary,Card
11/5/2021,11/5/2021,Delivered,11/8/2021,3,3.09,219948104,3.09,1,0.41,0.1,Pick-up Point,0,0,'30,9/12/2021,Sticker,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/5/2021,11/5/2021,Delivered,11/8/2021,3,2.65,249846004,2.65,1,0.55,0.2,Pick-up box,0,0,'45,4/4/2021,Paper,Apple Pay
11/5/2021,11/5/2021,Delivered,11/6/2021,1,3.65,219921682,3.65,1,0.31,0.1,Pick-up Point,0,0,'70,9/12/2021,Study,Google Pay
11/5/2021,11/5/2021,Delivered,11/6/2021,1,3.09,219948104,3.09,1,0.41,0.1,Pick-up Point,0,0,'30,9/12/2021,Sticker,Card
11/5/2021,11/6/2021,Delivered,11/12/2021,7,4.76,251029409,1.59,3,0.76,0.1,Courier,1,0,'35,10/13/2021,Sticker,Card
11/5/2021,11/5/2021,Delivered,11/9/2021,4,3.09,219948104,3.09,1,0.41,0.1,Pick-up Point,1,0,'30,9/12/2021,Sticker,Card
11/5/2021,11/6/2021,Delivered,11/12/2021,7,4.67,265265694,4.67,1,0.29,0.8,Pick-up Point,0,0,'40,10/27/2021,Stationary,Google Pay
11/5/2021,11/6/2021,Delivered,11/9/2021,4,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Google Pay
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,1,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/5/2021,Delivered,11/9/2021,4,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/6/2021,2,3.37,260281519,3.37,1,0.35,0.1,Pick-up Point,0,0,'40,10/22/2021,Stationary,Card
11/5/2021,11/6/2021,Cancelled,,-44505,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/4/2021,11/5/2021,Delivered,11/9/2021,5,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,8.67,225850592,8.67,1,0.27,0.5,Pick-up Point,0,0,'36.25,9/21/2021,Container,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,5.87,209488909,5.87,1,0.56,0.6,Pick-up Point,0,0,'40,11/17/2020,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/7/2021,2,10.12,260281519,3.37,3,0.35,0.2,Pick-up Point,0,0,'40,10/22/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,3.13,219896042,3.13,1,0.47,0.1,Pick-up Point,0,0,'57.5,9/11/2021,Sewing,Card
11/4/2021,11/6/2021,Delivered,11/8/2021,4,2.65,182569295,2.65,1,0.49,0.1,Courier,0,0,'51.25,7/23/2020,Journal,Apple Pay
11/4/2021,11/4/2021,Delivered,11/9/2021,5,3.33,204942825,3.33,1,0.58,0.1,Pick-up Point,0,0,'45,8/13/2021,Paper,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,3.13,219896042,3.13,1,0.47,0.1,Pick-up Point,0,0,'57.5,9/11/2021,Sewing,Apple Pay
11/4/2021,11/8/2021,Delivered,11/9/2021,5,8.56,206052892,2.85,3,0.64,0.3,Courier,1,0,'45,8/18/2021,Paper,Card
